place,title,link,published,source,domain,category,confidence,importance,reason
New York NY,"3 stabbed outside Laurelton, Queens home in dispute over French bulldog peeing on lawn - ABC7 New York",https://news.google.com/rss/articles/CBMirAFBVV95cUxPbXRUc2VvYlpIT25KUXp3Nzh1U3ZJSzlJVkI0REFzWWN0TDNtVjVoQ3hkYmpHQzk2UzdmVHNWWWM3V1VvUGJxb1FIMUNXbFhCWWZmbEtzMjdnUTF2bUdsb0lTRVRIa3NHSEJpMS11SGtpX1U5T1M4WlUtSHZaTndKVUszdkpNU1Q1M2dNVk50eERvVUJkM1pyX0VpaExoZVpIMjNMdjJWZ0ttQy1x0gGyAUFVX3lxTFBZa0JHSUJZM0lOWGFRR1k2NXBXMklPUTl5U1FJVWFuTG1ZbGRadTJCenNmN0s4cVJVcmhrRVpGNEN5blo0UGpENERoSlJWeHpoamdMMFp3WTRqQ2NsX1k0aXNOYnQ5dkhScG1fc0hycWxWS0NYb3pvWXk1RVdmVEhlWjdta1U3S0x5Zl82TVVpQVhXMzZwZlVTcHZEZDBPRnBBaGhRcmxLQXdlajdXYVBKbkE?oc=5,"Thu, 23 Apr 2026 18:50:05 GMT",ABC7 New York,news.google.com,civics_politics,0.96,0.52,"Stabbing already occurred; police/crime investigation belongs under civics, not active alert."
New York NY,"Jeff Rosenstock announces ""ultra-long"" 'Worry' show in NYC - BrooklynVegan",https://news.google.com/rss/articles/CBMijgFBVV95cUxOUUR4WEJmdFctTXVidF85dm9oNWxfdWtWYWdRTVptQ3RoeXUtRzMxLXRzcXA1c1BUb2I5czdaWERqWFVRWGdvMWZ3WVlCd0FNeG1aSlRjcjJpdEtsWHIzWGZSYlhyemNGZEJQTHVIQ2V5aGpObUtqUDhvR3NMNThLLTlMUFY0OVBoQzY3cHlR?oc=5,"Thu, 23 Apr 2026 16:37:15 GMT",BrooklynVegan,news.google.com,community,0.98,0.42,NYC music show announcement is local arts and entertainment news.
New York NY,Lower Manhattan gets a new arts center focused on Central and Eastern Europe - Time Out Worldwide,https://news.google.com/rss/articles/CBMivAFBVV95cUxOTjNsWTRtX2VnTnJ5YWJ0R1NSbWk1bEFLS3cyX0dSSWZRRG9FN0o3eWJ5WU5lMTYzWW5Eb0JDcjhOSVA2SzNFbl9BYnZhY1E5dW1zYkJRcjhUcUU2TmFiaXFfQzd3MmVUS1NHY1h2LUpHZTlKbXhvYUwwWUFkUUdYdjJpT1dUZHo5dVJYbFVMeW9PeEMzWWdIbWg3QktlRXJzUV9IcUJ3UUhnRjhRRWFvSHUtbnRNQmRDejA4Yw?oc=5,"Fri, 24 Apr 2026 01:45:19 GMT",Time Out Worldwide,news.google.com,community,0.93,0.46,New Lower Manhattan arts center is local culture and neighborhood news.
New York NY,"Iran War Has Drained U.S. Supplies of Critical, Costly Weapons - The New York Times",https://news.google.com/rss/articles/CBMizgRBVV95cUxPLU9zU19fZ0FyTzJnVURwRGpxY3hOeTREek91cFZXQldadlFwR3JwXzNrZmpLR1FOTnVGUW5faU5jNTZZd2NtbzBvVktBSGNPWmJqU1AyUnhLS0dnNVVjQXRWYWVxQ2puc3V1NFQzLS1GMWhzdHd0MVJhME9kbkMxV3dhcm9sdjIwd3lVMmNGbUFlaDFqa1BWMm0tYTJEOFY5ZmliQVJKSC1pckdZWnVDSThDdktYa3NOUDM2eTAzZ3ZCbjg0b2VLNjhVV3Q0NzB2R3FMVXhvT2pPcWZTNDVDb2U1Y1Q4dG15QUUyMFoyT0hHTS1xZE9MTDVVTHExTWZDYm1pdzEzdVVJVlA3R0h6ekFDT1VWRUV3M0pKWmh5RWRTQ2RLYk5ZcTZrWGRjTFJpNE1MdmswSmNiVFR1YnBVRktvTGU4U183N2FGaEZEY1FPbUY5VFVKY0xXOGJqVHJRX1pTTXBJRlJkZzhZMEF1UEpJMmd2aXVWb3lUaThWWHk3UVdSbW1Fd2tWUWpydXNER3dOTDdZanBJcXpSbGF5ZVlueVZMLTlvZWR0dHItUlcyQjN5VmNoU2VVUVZ0bnBJTFVKQkNsTUxfb3lqd0VGbjVrLXYzanBkRDZHRTUwZ0tRRDQ4Q0ZXTWpPODdac1AxZUplQ1lPN09tbXVDLWRONWkzM0dzNHRkVklxQWlKZE9FQmVTTUE4bGRGNWZTSUpsaElKb1dOTmY1Tk8yQzRwajFNWnpIM0pzallfSWRCM21IUjNMXzQ2N2lTN2FJdw?oc=5,"Thu, 23 Apr 2026 23:51:05 GMT",The New York Times,news.google.com,nonlocal,0.99,0.2,"International war and U.S. weapons supply story, not specifically local to NYC."
New York NY,"Iran War Live Updates: U.S. Blockade Will Last ‘As Long as It Takes,’ Hegseth Says - The New York Times",https://news.google.com/rss/articles/CBMiwwRBVV95cUxQNmcxMlZSYUZoQWRSTFIyQUo3a0FUTXZPU1ZJNkkyNEtqOUFRS1hOaUJGVUwtZzAyZmhoUTFEMHZrZ2pYZGVoaHNfVHctOTBTck1yLVF2OWVfMlQ4clBkY0RuVjkzVnVzdHBYcVFkc3RKbHBoUGM1ZTFSMnU0Q2w1NXJHMV9mdUR5STVNeDhkYkh2djYtLXk0VFRwNmpIVWxnRWhZVnlKUmRYUFBRWlZQTUVSNng2dXRnWmd3RWRaVVBWZ1JQM0ZtYnJYY2VsT0dDdVlvdjNCWk9NbGhkZFBQRHdjS21ZZ0piX25IOTV2RVBpRi1hWTFJR3NHS3lwU1RadlBUY0hFaW9YcHhDVXJZTjZRUTQzZDJvWGMwX1Rya2N4dDFJaFlRMlpjVzFPRTN4V19kRjlUZTNtQVhhVUtPZW9fM0RPZjc2N3FhdEdEQ1p5M0k2LXR1ZEhjeGpvMFVVcklEVHN4Ylo0cVR0UWI2d21fdlB1OGFPVnlKN0IxUG9YbXRMQnpKOUw4OVZtUTd3WTRoZnQzNEVJSU1aMzJuWW9ucDR1UVpGWHowWldxXzVFaUZNeHhCLUJoSk9hU3ZBYVF4SWFpQ0MtbGM1cGJKTlNiTWFWSnR2VVNERTRfZUoxREZIUWoxUG5xdTlaQkR5VmNNQ1BOMnlzZ3p5T0hqWU4teDFMX04wSmNzc1luVWVjUGREQy1jMGxTdEpFZ21MXzBMLUQ4Vm9CQmpJNldtMkRkNW1mcGNiX3A4N3Zrd2pOaUU?oc=5,"Fri, 24 Apr 2026 13:09:32 GMT",The New York Times,news.google.com,nonlocal,0.99,0.2,Live updates on Iran war and U.S. blockade are national/international news.
New York NY,How the War in Iran Is Shifting From Bombardment to a Test of Wills - The New York Times,https://news.google.com/rss/articles/CBMiywRBVV95cUxNaEFaQ0ctSkxxQktQQTBqZmFEekpKdlBFT0hGUkMxSjZ4N21ET3lPajVLa0E3QXVzb1poemxjU2lwNFE0OHNjb2F0aVR3V1BvelFmN3p1NjFMZy1EcXhqUkVWdkpVVmgtMExYaGcwMnk3djFTQ0JYWGpnY2QtQlY2ZFZQOXR6RHlwRHJSWFFZX0hfTEFDRmJWZ19Wd05CLUp1cEFwWEdOSGtSdl8yNGJWX3hjY1J3aTdoVDc4RHRXWFdTem9weFB4S2ItUUNqY0FrRWxQVTdwNXpRSUxkcnBfWGswcVBqN1JnUkNJdTdhNFktR1hFWlAtbU9ZUjFEZGlqSTU0Ml9DVGJoZ3VrNlhvTnM1OTdLMjhsZzdTTUtzeVFBMEtiMFlrZlp4SHZ2YmFLU00tTS0wWlIwbjh6NkNCVnVwQ1NSNVNyT3I0MDJ3OHRZdDRaSGp0UlM5STJxT2prTzh2NUxxT0dqSmxhSzExUGZ6U2VHaTN6Qi0tb25scm8wY1dROXd3RWdBZmEzb3I2RUxQdTFFc2J3N0paQ3FVanc4QU1kTXJELWxodDRKcE00ekFFcjFoYjlORGdOY25qa3BqN0FvdHpOS0dDUmV6ZG9zZjBvbU9qZm9rSzAtY2E3SVRLQ2lGQ1ZFbm1odGNFd1dyYWE3VVFSM0FJeFlhVTRoazdXRlJ5Z0ZfLUZ3Tmx3MEJNWlVNWnZlSFloVFUxWldXQ0oyWmYtV3RqRkR3djFxcEhMRjRxUVBOMWJjRm43bk52N1pLYmZJUQ?oc=5,"Thu, 23 Apr 2026 21:59:40 GMT",The New York Times,news.google.com,nonlocal,0.99,0.16,"Analysis of Iran war strategy is international, not directly local."
New York NY,NTSB report describes chaos at LGA ahead of Air Canada crash - Gothamist,https://news.google.com/rss/articles/CBMiuAJBVV95cUxQV2RLU1dHbG5Fd2JRN1Z6bWxlaVRFeG54cVZZSTlfemtrTFpOVlpJMmNCSzZoZ1RuelFxWlJjVzVWcnVLUTRoNjg2NGg4bnN1bzBlaU5aRDE1YmpON0NpUmhOTUF0Qmdpem9sQ0dOclB1M3ZyTlVUUk5HdDNiMk9tNEFQYm1GZGxmbm51RGV0MGQ1cWRjTmtXU1VlcXRZWGhUV0pRQV9odDBGc2JuU2R1VC16MDFhS1RpOHc0SFZtdE1ZeGVaV2RVSWxIY3V0YjU1RVM2Sml0NlJ5QWdibWlNSjRMRUZnbXZBVDJqQkNMOGhWOFdHMEw4MW5pelBSbTdzMEFxekxWYjg5RlJnOUwtZjNoMjRMLVpTRnpmb2d5NFhucVF3MjkwODRFcFc2Uk9pT0hleHlfZEM?oc=5,"Fri, 24 Apr 2026 10:30:00 GMT",Gothamist,news.google.com,civics_politics,0.84,0.45,NTSB report about LaGuardia aviation incident is transportation oversight and investigation news.
New York NY,"NYPD arrests Bronx man in Queens car takeover, 7 still sought - Gothamist",https://news.google.com/rss/articles/CBMinAJBVV95cUxQaXVWSVRUM280YjdoVVhzUTBVamVibTgxY29mcy1MM0MyR2V5aUpHSi00WTRCMlZVc2w4VU1jaHh6UmdlQklmSFR3N042MHd6MFRZZnN1RHFobmNYMlN5SlBpZG56NXExZld0QjhYU2xkQnlka3pMYW5mY2M4TUdvR3R0Sk1MTUVfdzI2TVhxaUh5YjE0Y3dBN1RlOVVPU3lXT2lLbEhzcEw5eXFYbkdQelkyZXVsalhhaHJXY2VVTVpNcFNBbE5EY3F6dmNnd3FLazdUcEtiZ1dYOFQyWnhoOW1POWhVenp2UDhCbXVqUXBEbVZMeUU5aUZZN2p6STFEaWtBNkpCTWNMd2NmaF9lUWEwbGNMNzIzc3BnbA?oc=5,"Thu, 23 Apr 2026 19:52:00 GMT",Gothamist,news.google.com,civics_politics,0.97,0.49,Arrest and ongoing police search in Queens crime case fits crime investigation.
New York NY,I spent the day riding the A train with NYC's ‘Snackman’ - Gothamist,https://news.google.com/rss/articles/CBMiswJBVV95cUxPQ2Y0V0pJRVlQTnI4OWtJOHJtSHNzM2JrbVZFaEZGakU4YnZTQTNaRjJtSE1hWGhYM19hWUpLem1ELUNOM0xsVXVrMldGTmFkRjJvY0FaV2R5OElaNF8yQjc4Z0JZTzJ5dDNlWE5IQkdzc1dSdGZTc2NOR0FScnczU2JzMVJ4aElKMl9xbHRPUF9yMWJwNUNZOTl1anFmZElKMTZLSE1saEhmWWFlc2gzakhpaFF2WUpzR1lZUmNILWVPWVZRUERoX09FTFRqT1VrTk1ueFc4RmZ4VFo0VWItN3U2cHVlSTd1VkU0aFp2VDZTeE0yM3IycnN0QnNkb0VGUGFyc1VVU0VUSlJ1S3NKcDhDYlI3SjVGTWZqVmo3OExBai1LRUpDVHdSNm5iTGc3NlIw?oc=5,"Thu, 23 Apr 2026 17:05:01 GMT",Gothamist,news.google.com,community,0.95,0.31,Human-interest feature about a notable A train personality in NYC.
New York NY,Americans blame Trump for gas price surge in election year - Reuters,https://news.google.com/rss/articles/CBMi7gRBVV95cUxPcF9nd1lGem01NlFXakJXRERMT01TV29vcUFaNUZqdTJkdDU1Nmh5MER1bVcxbmxuQ3dfQl9wSmdzM3NOSGhxU0VJUTdLMlk5MXBOUl82dzdOQzdOQWxFTkdEVm9ZUF85aHBsLVZFTnR2UkJPYkJxczlWeDFLREJaNlAxRGc3bFJrTHlPcFBaVTZIUG9ZV2RBYTdoQUprcW9NOUVhMVEwU19sS041ZnBkc3pCeXUwQ3c0TzZraGQ1MlRBWkVRRmpMUkZWTVhUYnM5dGtaOHdxZ2V2TTQxQ0UyekY5TkwwbmNGNTRraXJvS0dkODNYYTlTVTljdXpnNkFtYnk4eFBWRndvRWRBMUxocHZ0QkJ2LUtWdHNKSkJfVlJJY1NMTERSM2dlejNReEc0cm5DZUpybXlWSzdHaWM2aC1XTHNCMnljQmlTOVlhaDd0cXVJc2piX1dyMlRET2pGekYwbFVrMmNRaE8xZ1ZRTENKY0dyUVhKalNHTHFhXzlILWZrdFVDVko3QVcyaDFQVnRvdEIwRFNBQXZzSTVURFR0cWZjcmt1TXNKQUpQc1d3R2YtdzRWYS0tNElpLXpMdlhxM1Rxb1FwOGVGQ0loc0UtVm4wLWhPT2xQQXpWMklOSlJUU09NQ2dEaGdLTmR3aXItOWlQMEpyNEI1bHpWaGpsTFdWczBrZkJGQ2ctZXN6UmhncTVJMlBkb1dib20yQUVkcVNZbmFVN2hTeWpkQkNXM2d1Nk5HRUJiZy1CdE9TNTdndEw5RHZDX3BIX0xMeTVmNlF5VTJDR2NQWHNnblNBbVU0bU56MGtlTElR?oc=5,"Fri, 24 Apr 2026 10:45:47 GMT",Reuters,news.google.com,nonlocal,0.99,0.18,"National political polling on gas prices and Trump, not NYC-specific."
